01,01,01
02,01,11
03,01,21
04,01,31
05,01,41
06,01,51
07,01,61
08,01,71
09,01,81
10,01,91
01,02,02
02,02,12
03,02,22
04,02,32
05,02,42
06,02,52
07,02,62
08,02,72
09,02,82
10,02,92
01,03,03
02,03,13
03,03,23
04,03,33
05,03,43
06,03,53
07,03,63
08,03,73
09,03,83
10,03,93
01,04,04
02,04,14
03,04,24
04,04,34
05,04,44
06,04,54
07,04,64
08,04,74
09,04,84
10,04,94
01,05,05
02,05,15
03,05,25
04,05,35
05,05,45
06,05,55
07,05,65
08,05,75
09,05,85
10,05,95
01,06,06
02,06,16
03,06,26
04,06,36
05,06,46
06,06,56
07,06,66
08,06,76
09,06,86
10,06,96
01,07,07
02,07,17
03,07,27
04,07,37
05,07,47
06,07,57
07,07,67
08,07,77
09,07,87
10,07,97
01,08,08
02,08,18
03,08,28
04,08,38
05,08,48
06,08,58
07,08,68
08,08,78
09,08,88
10,08,98
01,09,09
02,09,19
03,09,29
04,09,39
05,09,49
06,09,59
07,09,69
08,09,79
09,09,89
10,09,99
01,10,10
02,10,20
03,10,30
04,10,40
05,10,50
06,10,60
07,10,70
08,10,80
09,10,90
10,10,100
